fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,confianza_matrícula,mx1,my1,mx2,my2,texto_matricula
15,car,0.76,6,501,558,644,680,,,,,,
15,car,0.75,4,1095,520,1352,739,,,,,,
15,car,0.7,5,996,548,1120,650,,,,,,
15,car,0.4,3,623,563,683,647,,,,,,
15,car,0.35,3,659,536,713,581,,,,,,
15,car,0.3,6,537,516,576,546,,,,,,
16,car,0.88,0,1519,566,1919,1066,,,,,,
16,car,0.87,2,326,591,566,756,,,,,,
16,car,0.84,1,713,525,978,785,,,,,,
16,car,0.78,6,501,557,644,680,,,,,,
16,car,0.77,4,1097,520,1363,740,,,,,,
16,car,0.7,5,995,547,1124,652,,,,,,
16,car,0.4,3,624,564,684,648,,,,,,
16,car,0.33,3,660,536,713,578,,,,,,
16,car,0.29,6,537,516,578,546,,,,,,
16,car,0.28,6,493,521,533,551,,,,,,
16,car,0.28,3,622,560,681,598,,,,,,
17,car,0.87,0,1533,566,1920,1068,,,,,,
17,car,0.87,2,325,590,567,756,,,,,,
17,car,0.82,1,713,526,977,785,,,,,,
17,car,0.82,4,1099,521,1365,742,,,,,,
17,car,0.76,3,501,558,643,681,,,,,,
17,car,0.66,5,995,547,1124,652,,,,,,
17,car,0.42,3,623,562,683,648,,,,,,
17,car,0.35,3,661,536,712,575,,,,,,
17,car,0.33,3,621,559,681,600,,,,,,
17,car,0.3,6,494,521,532,551,,,,,,
17,car,0.28,6,465,513,510,541,,,,,,
17,car,0.26,6,460,511,494,534,,,,,,
17,car,0.26,6,537,515,575,545,,,,,,
18,car,0.88,2,326,590,567,757,,,,,,
18,car,0.86,4,1102,520,1370,745,,,,,,
18,car,0.82,1,711,523,977,785,,,,,,
18,car,0.79,0,1548,570,1918,1065,,,,,,
18,car,0.78,5,995,547,1126,652,,,,,,
18,car,0.77,3,500,557,643,681,,,,,,
18,car,0.41,3,623,561,684,648,,,,,,
18,car,0.3,3,621,559,682,603,,,,,,
